split,pdbid,protein_feature_hash
training,1awi,0c8f36871632ef8004176f13cc7279ce
training,1ax0,0d0aa13c90239121c7b6c28875170a71
training,1ax1,0d59afa7dbd0d2550427df4ee3acc43a
training,1ax2,0d59afa7dbd0d2550427df4ee3acc43a
training,1axr,b717dd042bd6e7c03a750dafdd558545
training,1axs,4459477f202aa245f58309bb5ea9da78
training,1axz,0d59afa7dbd0d2550427df4ee3acc43a
training,1ayu,0f9158fd48ec62a2b38998caabe67369
training,1ayv,0f9158fd48ec62a2b38998caabe67369
training,1aze,dde38f6044e06a38ffeed49c439ea5e1
training,1azg,af09fff1f439222d8023ed31dc803c5b
training,1azl,d1d88b22baa52ad7e253ebd0ef472742
training,1azm,aa8eaa28afcc3abdda8b4b1943d1fb90
training,1azx,976de80a6f1939cca457aa60d42b194d
training,1b05,5664bcd4fa08cecceb1c5d55c1691f99
training,1b0f,632e7b2d4eb00e978a41b169a46777f4
training,1b0h,5664bcd4fa08cecceb1c5d55c1691f99
training,1b11,fb2344dea4d3cb945017dc30f94c272b
training,1b2h,5664bcd4fa08cecceb1c5d55c1691f99
training,1b2i,5e6dd7eb0ccd6ae14958286be2e98a77
training,1b2m,bbb54b197dba818c0ecb88752f98563b
training,1b38,e92d52e18837d61abd60ce34c448ed06
training,1b39,e92d52e18837d61abd60ce34c448ed06
training,1b3f,5664bcd4fa08cecceb1c5d55c1691f99
training,1b3h,5664bcd4fa08cecceb1c5d55c1691f99
training,1b3l,5664bcd4fa08cecceb1c5d55c1691f99
training,1b40,5664bcd4fa08cecceb1c5d55c1691f99
training,1b42,c3c2a7e1bdd69f98d7ff598092818c75
training,1b46,5664bcd4fa08cecceb1c5d55c1691f99
training,1b4d,34c556c99da7da8b1607ea74e12b5eaf
training,1b4h,5664bcd4fa08cecceb1c5d55c1691f99
training,1b4z,5664bcd4fa08cecceb1c5d55c1691f99
training,1b51,5664bcd4fa08cecceb1c5d55c1691f99
training,1b52,54e8446ae0699935b1b6cb3e7237ec9f
training,1b55,806458f88f5ae80b89c1d078c1924028
training,1b56,8b582fc5fc389d20ee1e55ba9e8626e2
training,1b58,5664bcd4fa08cecceb1c5d55c1691f99
training,1b5g,d4d7910822b6c083b41400a1293f9a0d
training,1b5h,5664bcd4fa08cecceb1c5d55c1691f99
training,1b5i,5664bcd4fa08cecceb1c5d55c1691f99
training,1b5j,5664bcd4fa08cecceb1c5d55c1691f99
training,1b6j,d9c9c60a73fa13929fa667b5d83624f9
training,1b6l,221eb794cb4c0d5a83be36653c0152d4
training,1b6m,221eb794cb4c0d5a83be36653c0152d4
training,1b6p,221eb794cb4c0d5a83be36653c0152d4
training,1b74,f1ff903f094e14011d2f2074ee2fc329
training,1b7h,5664bcd4fa08cecceb1c5d55c1691f99
training,1b8n,b3c920f04cf843a1a2148aaaf1c2c15c
training,1b8o,be6e3058fc5ee1fdd4dca15e5d96795d
training,1b8y,6d1768622bd721a620058f97737fff2d
training,1b9j,5664bcd4fa08cecceb1c5d55c1691f99
training,1b9s,c6783fe988435065d4c6cc78a8cfe82e
training,1b9t,c6783fe988435065d4c6cc78a8cfe82e
training,1b9v,c6783fe988435065d4c6cc78a8cfe82e
training,1ba8,b9e366573ead572eebef0858685d0d18
training,1bap,b085ed2bd785a99e82f402f722243c90
training,1bb0,4f8ea0d7c3831e066373bdaccec297dd
training,1bbz,fc0a1d284e2568f95880a08a139df6ba
training,1bcd,dfc1088450e4156bcb3c7cff27375dca
training,1bcj,4924b1d3f1072470db1ac4438d43edea
training,1bdl,61731122b2f0598865ac71c7c5e4457f
training,1bdq,e68f7413c3bdf0f0704b185d802d612f
training,1bdr,cbffa8700adff9eeeaa83d83d43c7165
training,1bgo,0f9158fd48ec62a2b38998caabe67369
training,1bhf,023270209d167381a75d5f7cb7cccf30
training,1bhx,44236430588c6737ab4b2b3ff77dd471
training,1bil,de14f38c13c2c7185eaec870fd1b37c5
training,1bim,de14f38c13c2c7185eaec870fd1b37c5
training,1bio,d7d9e169832f2c9fd49caf757ab488a4
training,1biw,a663be3928920060dd68e02bb5a5e7fa
training,1bji,65f8de43af2905512177bb6e85be7cbe
training,1bjr,70f41e0fc76779508ef44706d624bff3
training,1bju,180f5b9c3ade28ef0797da3f9a116962
training,1bjv,3416f210b671460f04c7924a2ff9506f
training,1bkj,6c38872d71c069e2efd8127435d020b0
training,1bkm,2b107175b21e7251918c60c70418fa10
training,1bky,c3c2a7e1bdd69f98d7ff598092818c75
training,1bl4,35c382863045f6acefa36648e70e1f62
training,1bl6,21edeae83c90bde5e37a45692cdb28e8
training,1bl7,21edeae83c90bde5e37a45692cdb28e8
training,1bm2,00612b6179f8e59296a5e42c6c03055e
training,1bm6,8a781ed8e8b28fc9e805b4cd3c9bc5f2
training,1bma,8f935006030586bbcc8b1249bbb97d1c
training,1bmb,4a4ef2c98272b43fd983b7bbdbe660a9
training,1bmk,81f67a40e9225ead645e75f81fc015a7
training,1bmm,8a869090edd88f6a3eceb8dbc605216c
training,1bmn,508c96810d303c00bd10cfcc46156b7b
training,1bmq,dd78e901d7d92fa53f2728d7167b762e
training,1bn1,6fbd48988c69be264339adabf2fd0f69
training,1bn3,6fbd48988c69be264339adabf2fd0f69
training,1bnm,6fbd48988c69be264339adabf2fd0f69
training,1bnt,0cd8e916492bde2e785e31a76241a4a3
training,1bnu,0cd8e916492bde2e785e31a76241a4a3
training,1bnv,6fbd48988c69be264339adabf2fd0f69
training,1bnw,0cd8e916492bde2e785e31a76241a4a3
training,1bo5,e5ada854a76d114cc74636bcfd7e5996
training,1bp0,403cee62611647cb69cc61075765c542
training,1bq3,e200a82568e256d2277dcd1bb2fb30b3
training,1bq4,e200a82568e256d2277dcd1bb2fb30b3
training,1bqm,11472d39892b26bb03afd2b2f5368766
training,1bqn,eb8d51584f5a12c40fd7f1940fef50d2
training,1bqo,a663be3928920060dd68e02bb5a5e7fa
training,1br5,62b0a17d2a6ee1d0d50200a6a161db41
training,1br6,fc8b3a962eb34b4fa5bb13aff33d6222
training,1br8,4bc21077d6a548795a3fe32c2dcc1d40
training,1bra,931180beca584d32d846e188a0d87bf8
training,1bsk,135c7e49d3c6f3fd6e2c074349001121
training,1bt6,e48a7c315dcad57ea97f90943d05fa3f
training,1btn,306a64057bb2fb3136503cec0e9f959b
training,1bug,56817e03d378cef311bf090eaaa03d7d
training,1bux,9f5905d01517780f70f5ad7a88dbc0ef
training,1bv7,b7b95e6da321e239d29df0baaad4082d
training,1bv9,0c24334ad3d965263bfbf2da7d4eca79
training,1bwa,1c72efc5bfe0814a48be87aa62661da5
training,1bwb,1c72efc5bfe0814a48be87aa62661da5
training,1bwn,ff9db75bd08f12226e0bd8c8db7c8520
training,1bxl,c1d4fd041f260ae407670892904a5f47
training,1bxo,a885ab0dba3a0149ea71d473a062d114
training,1bxq,a885ab0dba3a0149ea71d473a062d114
training,1bzf,60a2f4cc4fb2591bb9877b86a5e9984c
training,1bzh,e145db0339dd62dbd7a79d13f3da9e4c
training,1bzj,a8359f3ff0c4392af27bd82e54dcadf8
training,1bzs,5edd03aef2b0758022cb891f4085f0d8
training,1c12,f9f6c19048845988ebb313e741cfcb62
training,1c1u,156e1945b58eb4dbfe3cffcf58ef63ed
training,1c1v,156e1945b58eb4dbfe3cffcf58ef63ed
training,1c29,5fb1f6ac55e803ecb8fd8f2cb7270682
training,1c2t,7470ef45d69c31d729cf3b43bdeb5985
training,1c3b,6042559c1f1aa41c11f7f5de1b46a47d
training,1c3e,7470ef45d69c31d729cf3b43bdeb5985
training,1c3i,5f92fd6053529d125708aab7defe62f0
training,1c3r,672ea577dc4c6b746c271e59da7a2e7f
training,1c3x,0d53513979a73b5ca5dfaee62feb2e9a
training,1c4u,95241b014fc18e05be9ee412cdf44083
training,1c4v,d889a3ea8a67c8cb986230722b1a3ca6
training,1c4y,19e3cb2e5eda7e5d8ba1027666465453
training,1c50,6503156aee2ee2daee9b77505f40c4c8
training,1c5c,cf3913bd68ef3baee8a8d3ea339cad83
training,1c5f,9fffe6bfa9dbc33fdea045a35834c998
training,1c5n,db0b60701b66ad2d9d084589ccdbaccb
training,1c5p,2d22ebf93d0218455a73aabbc82a65ad
training,1c5t,2d22ebf93d0218455a73aabbc82a65ad
training,1c5x,f2a982730f0c21a613ef301768ce2741
training,1c6y,0c583db04795d271a75842ae0ce54cfc
training,1c7e,92bd43b81c00a682ae455023dec6ddf4
training,1c7f,92bd43b81c00a682ae455023dec6ddf4
training,1c83,709cac0602ac3f0618d9e95bc3c99227
training,1c84,709cac0602ac3f0618d9e95bc3c99227
training,1c85,709cac0602ac3f0618d9e95bc3c99227
training,1c86,a516e8af9cb5a7ded969fa5ba1113a9e
training,1c87,709cac0602ac3f0618d9e95bc3c99227
training,1c88,709cac0602ac3f0618d9e95bc3c99227
training,1c8k,6503156aee2ee2daee9b77505f40c4c8
training,1c8l,448fb89c4a9d07c24539bd5111b9ad68
training,1c8v,5fb1f6ac55e803ecb8fd8f2cb7270682
training,1c9d,5fb1f6ac55e803ecb8fd8f2cb7270682
training,1ca8,09488014556f310e01b19ea7874c2515
training,1caq,e0746676e6c689a6918b0f196d09e8b8
training,1cbr,0cbd01079f40adb00b9cd911e7b9e779
training,1cbx,21519a91653162d3215326a2893e6239
training,1ce5,2d22ebf93d0218455a73aabbc82a65ad
training,1cea,462099e3844f81bbe242a22a8aa9c1d0
training,1ceb,2796a12bdcad2da3887823336fbe1444
training,1cgl,0d09b7ad4fa58f0176f9298b3b043612
training,1ch8,0ad010c438ae5c90d50d44d5f109d844
training,1ci7,e2f6d30be4074bcc6aec4aeddd8381ad
training,1cil,6fbd48988c69be264339adabf2fd0f69
training,1cim,6fbd48988c69be264339adabf2fd0f69
training,1cin,6fbd48988c69be264339adabf2fd0f69
training,1ciz,e0746676e6c689a6918b0f196d09e8b8
training,1cj1,358f3c4a11aa293263630f6f4d5fdbfc
training,1cka,6722fb644cad808e91d443e8823b981d
training,1ckb,6722fb644cad808e91d443e8823b981d
training,1clu,8a9b36feee97ac193cef7524847c0787
training,1cnw,6fbd48988c69be264339adabf2fd0f69
training,1cnx,6fbd48988c69be264339adabf2fd0f69
training,1cny,6fbd48988c69be264339adabf2fd0f69
training,1cp6,97f79027b5f47ea430d305792f9a7317
training,1cpi,61149d23798f1fc4d2976c029f67b0fd
training,1cqp,0f49c0c22dd85fa024cf70753d96ed56
training,1cr6,3e59feb6eeae870a3f4b65dde77a49f1
training,1cs4,862c255d5a130f201afc24ef3ef78053
training,1csh,993e27e2cb658bd091922dd0f21fecd2
training,1csi,993e27e2cb658bd091922dd0f21fecd2
training,1csr,993e27e2cb658bd091922dd0f21fecd2
training,1css,993e27e2cb658bd091922dd0f21fecd2
training,1ct8,f3eaca5e5e92b8938e62686d4b8d725b
training,1ctr,7498e1e583f9fcc55ac069431276f7f9
training,1ctt,750d3b0dfc73b503bb820208a85cf416
training,1cw2,5fb1f6ac55e803ecb8fd8f2cb7270682
training,1cwb,83b214510f4d17cca971fd86b37e80de
training,1cwc,83b214510f4d17cca971fd86b37e80de
training,1cx9,5fb1f6ac55e803ecb8fd8f2cb7270682
training,1cyn,8e44fac674f43b64b33c0d0b54333671
training,1czc,4c1d49eaeb4fcf247c902822834ec328
training,1cze,4c1d49eaeb4fcf247c902822834ec328
training,1czk,3b833af726654dda0c3611322a95300d
training,1czl,74678ca1a3f6b5f4f241a3bcc4f80eff
training,1czo,f41ed4d5252a78702a144f84b3112468
training,1czq,e32d3363328d1ceaea0174f568bd5f0e
training,1czr,06dc09b56a27ab90b83b07d0c3492333
training,1d04,74678ca1a3f6b5f4f241a3bcc4f80eff
training,1d09,a3d7f6875c0b54b6e8b1dc3853785091
training,1d1p,af298500c31e107ff82e1e1f1404a151
training,1d2e,360bb77ef3c7bfa1d2130b5f3516372a
training,1d2s,cd523d806eda60b6c733128f97d7fb8e
training,1d3d,fcf7fcf3cfe6466838f250f4617b62c6
training,1d3q,fcf7fcf3cfe6466838f250f4617b62c6
training,1d3v,e92bd33096bd3e1fbdcdd7f81c5679ef
training,1d4h,ab33cb177880223edd1bfecf6927ec9c
training,1d4i,ab33cb177880223edd1bfecf6927ec9c
training,1d4j,ab33cb177880223edd1bfecf6927ec9c
training,1d4k,c790794e06f2f90e75de2d1f7efb697c
training,1d4l,c790794e06f2f90e75de2d1f7efb697c
training,1d4p,fcf7fcf3cfe6466838f250f4617b62c6
training,1d4t,c63c82840a72322539d7a96830fbef7a
training,1d4w,c63c82840a72322539d7a96830fbef7a
training,1d5j,fc5d8012a66bebf0796dcdbd4d561582
training,1d5r,bcea4e7ebbb0e663ce21400efcac54c2
training,1d6n,ed654eda4f4e54f4abf3f346c332f39d
training,1d6s,893d2f73ad76f3e2e0fdb7e3e163a07a
training,1d6v,c087e609e80dab3932a67113b5c11e4c
training,1d6w,5a9cb4e1f1fd17e0566de0c18d84c090
training,1d7i,e13d6300f131ca35034449031c46998b
training,1d7j,e13d6300f131ca35034449031c46998b
training,1d7x,ab4935ce90633f7e5ef68327f8bdd76c
training,1d8e,0c15b73c481ed7b3b49433f453a93850
training,1d8f,d282e319a651f9021ab256630e9d7986
training,1d8m,d282e319a651f9021ab256630e9d7986
training,1dar,57bdddb20790d4582fdc6f1fd2a04e1f
training,1db1,1a0f19976a79d48ce17c985ce1b09142
training,1db4,549a7962debd69cc5f296fb689b096f5
training,1db5,549a7962debd69cc5f296fb689b096f5
training,1dbb,4f4c32b35c870aee2cf09e33033de380
training,1dbj,4f4c32b35c870aee2cf09e33033de380
training,1dbk,4f4c32b35c870aee2cf09e33033de380
training,1ddm,c3961f6886c89f7120c1d972139c45be
training,1det,4a4a50970009bd5e43d1bd3212539af6
training,1df8,ced7eee8a14091ed1c35562176f05023
training,1dfo,f4bc788a754bac5cbf21490811005c16
training,1dg9,3d0890dabc61ee802d13da25a1a7ae6d
training,1dgm,9c8187b9a1b5d254bf3bdde0bbf160e7
training,1dhi,4a1c6f5d30480cae9549753f50ce905c
training,1dhj,170003f6ad69006e46810aa885ee257c
training,1di8,547e67da57d9c14003efca1bf51c6d50
training,1di9,74e3389e722df9ca930e68e1ec1177ed
training,1dif,dd13517d15676c4b233fb4e3e6f74200
training,1dis,60a2f4cc4fb2591bb9877b86a5e9984c
training,1dkd,230c2fbd2d84af997398fcdafdbf054b
training,1dl7,b050c7e4e0150e99c24d23d5da22c943
training,1dm2,9a5a50b6aac59a85bbeb623847e45705
training,1dmb,9128d1f057f98e47136f7c4f4f8f121d
training,1dmp,c1fa85f9f417714248f928aecaf148dd
training,1dmt,34fa60d938b4096f4d4556c83b73f007
training,1doj,87ba4768bd89557761e651d5a929e92e
training,1dpu,5694c6cfe2708edf2ccc8d580fd21317
training,1dqn,1254ce19676ba4906dd87bc922f89375
training,1dqx,6f29be2304fb03c4a534d8bffbd40fed
training,1drj,6f278fa46441d94d0e25accfeb9e86db
training,1drk,c3a5e102b63af00e6b9170df9dc62ba4
training,1dth,758a9a5f229ed1f6c3fbf3e4019c9590
training,1dtq,a2815274be8e3fb32ab77b72411ab1dc
training,1dtt,0fea5f600f9230ee7bee6ece805ce3bc
training,1dub,69557a45bdd6dde33bc46559d96f25a6
training,1duv,cf4fec6dd66e5d6ba44d0ff7e388dd34
training,1dva,ce90188d9737362a7f05cafe3870358f
training,1dwc,9ca07b166de8862787d14e78075d5930
training,1dwd,9ca07b166de8862787d14e78075d5930
training,1dx6,d3c147ab4413695dca802a4278a1f02c
training,1dxp,67f5983528f46f593f4e233e0d530855
training,1dy4,5685e249d66015e2b510f15d2c64ca94
training,1dzj,4f8bc7ba67a3c91a549d8f89dfc92804
training,1dzk,4f8bc7ba67a3c91a549d8f89dfc92804
training,1dzm,8f24e4449dc91c9c619d28195359f888
training,1dzp,7bca1b1415e88f0c758b09658ac1f866
training,1e00,8f24e4449dc91c9c619d28195359f888
training,1e02,8f24e4449dc91c9c619d28195359f888
training,1e03,fe231a0b52d8a848adaf9f26542ef823
training,1e06,8f24e4449dc91c9c619d28195359f888
training,1e1v,e92d52e18837d61abd60ce34c448ed06
training,1e1x,e92d52e18837d61abd60ce34c448ed06
training,1e1y,066dbfb2e021574a553aec1727859507
training,1e2k,ef47c29bbe94712b8c92c49e4866e0e8
training,1e2l,20bcccb4c0504d36a0981154abc50ed6
training,1e34,ef5721bd7a3810d55abe3a87d214c764
training,1e37,ef5721bd7a3810d55abe3a87d214c764
training,1e3g,6a00b8679c9c624f1841faa762b81514
training,1e3v,882acad7333d08cc97ce2808a68c1cbb
training,1e4h,734f39ec6a461f45ee4a08f337312f70
training,1e55,56d8fda0daebff47384b8f414b1abff5
training,1e5a,734f39ec6a461f45ee4a08f337312f70
training,1e6q,941383b07ed60cfdbfe134e4cad06466
training,1e6s,941383b07ed60cfdbfe134e4cad06466
training,1e72,941383b07ed60cfdbfe134e4cad06466
training,1e8h,5b6526470edaa59439b9247f3102c5de
training,1e9h,8b0316ba557a2d59cf2bd9d5300170f5
training,1eas,1d6c2095162d7fbcc50c4cb66ae31a31
training,1eat,1d6c2095162d7fbcc50c4cb66ae31a31
training,1eb1,a0bcddb8627ce71cedfe81bc8b947b5f
training,1eb2,4c1754c6d514d6ce0f5d856d29788112
training,1ebg,bd5b9b62104c1c4a81f2e30d194c2519
training,1ebw,ab33cb177880223edd1bfecf6927ec9c
training,1ec2,ab33cb177880223edd1bfecf6927ec9c
training,1ecv,709cac0602ac3f0618d9e95bc3c99227
training,1eed,50f7cecdf4b6b73edc9901d8b1658778
training,1eef,c47c45a7b0ac50b51ab7419d51e44136
training,1eei,ff058a6cfc6c105da4793daeeb868b56
training,1efi,c47c45a7b0ac50b51ab7419d51e44136
training,1efy,aef4d3127b6bdce8bdc1b57a5682bcb0
training,1egh,380387e7d5316ba1743fb76fbef419a2
training,1eix,26b10ef957edb4ad1cfc05777ee65129
training,1ej4,6770fe6b15f702b3bfc1c51a46064f74
training,1ejn,b51bfe9b9fd005ac6901261a9ed5807f
training,1ek1,cf29774c10869555b4d935ec4a2ff609
training,1ek2,3e59feb6eeae870a3f4b65dde77a49f1
training,1ekb,94ceb17329cca2c2fec65aad99187b6d
training,1ela,8f935006030586bbcc8b1249bbb97d1c
training,1elb,8f935006030586bbcc8b1249bbb97d1c
training,1elc,8f935006030586bbcc8b1249bbb97d1c
training,1ele,95c79ece813378337718c5f6bac839b0
training,1elr,48b92583d0a48c61838a7b217ccc8920
training,1els,9b4b21f376f4c81be98d3aa40e416817
training,1em6,00d892b3904088f722aea8e2d044ba0c
training,1ent,93ed363e3fb76b4f93a44010680e4593
training,1enu,80aa1b885cbcb03059d26c03f6aee77b
training,1eoc,5660f79697438444d215ba5e4ba5a1da
training,1eoj,be4091bc7b54cbf52924634d43adc70f
training,1eol,be4091bc7b54cbf52924634d43adc70f
training,1eou,696c205224430844fdc5d0b6b2ec7f93
training,1epo,03c67830acfbeb7e030e0ebefb5894f1
training,1epp,03c67830acfbeb7e030e0ebefb5894f1
training,1epq,03c67830acfbeb7e030e0ebefb5894f1
training,1ero,fb014d43f4d71610f5a17bf8e81fb4e1
training,1erq,fb014d43f4d71610f5a17bf8e81fb4e1
training,1err,9ec1d56f1285e1d5cc2a20954af948f5
training,1esz,aa16dd43e1e57e80eff8da66b0dbe448
training,1ets,550c41de82e05c955dc78410fec42e38
training,1ett,550c41de82e05c955dc78410fec42e38
training,1etz,ed98451f6f563eae6eaff48d65e0588c
training,1eub,e5797809346c1191162d57548348b62d
training,1eve,0be4ce5e621e5c9047f59a279895a067
training,1evh,7cc4411a33efdae97fd7fed22c022729
training,1ew8,eb5e691a3c58a98b5ee2de78210de41a
training,1ewj,0d36400ab270e15447f1c9b807a1e1b4
training,1exv,5a14181684b9029c4c35ba6cc3009757
training,1exw,802376cfb48e7cf45d377e61f025eef7
training,1ezf,ae6aaa78eefa3199de928c03112a4835
training,1ezq,cb1e238664aa99189c3b0f3857dbce9e
training,1f0q,4ef8c7d05687d27825e56601dec912af
training,1f0r,16374de9272b156d1f933c8152d5fb98
training,1f0s,fe1e44f86a307d52f5c60f3c4a9ab560
training,1f0t,2d22ebf93d0218455a73aabbc82a65ad
training,1f0u,2d22ebf93d0218455a73aabbc82a65ad
training,1f1j,441f55f9cd34b4b898decc3452edcae4
training,1f28,2ac7ee5116776db9e5c54de8da81bb0e
training,1f2o,49772b48d9cc298431fb8330191891d5
training,1f2p,b237be6d1127ee3bcfb38a0887dc03aa
training,1f3e,80aa1b885cbcb03059d26c03f6aee77b
training,1f3j,916ec082bff0db1325b0fd8e4ee270af
training,1f40,e13d6300f131ca35034449031c46998b
training,1f47,66b1206e5beb87ff86bad09cf56bc29c
training,1f4e,32f9c8efaac62909906a7b1ca47e42c3
training,1f4f,b8f6a19b921c2912ed8c671a697a3ea0
training,1f4g,88c0abec67898cf285aef2cd43111822
training,1f4x,847790d8032a4acee20afb56d8b8d4ca
training,1f4y,cabda0af70221ad1df096a9d0df2a920
training,1f57,95ede5ea4b69d60cb710f850ab66c5bc
training,1f5l,2054da603a520d44df3e599e4e8f0dbd
training,1f74,6406d217898a951faa69bf31363e3316
training,1f7b,6722c250bb16928e5403c3ddfc653b1e
training,1f8a,b679a0a3bf58d52093045ae71375c871
training,1f8e,4aba086a6b21485618e73f0b4573e1f7
training,1f90,36d29e988dd6ddb8dfb8b28ab93ca04e
training,1f92,07d610a2a27f5b9c7949bc9c1a56814c
training,1f9e,9e14442ae54fdde4ebdc5224a721ffc8
training,1f9g,70b24e93cb530ab58b1622b5b3c60114
training,1fao,0ef909a6a8ea6ab2b5c368a96f71d34e
training,1fax,51e2bba70b1b4b1753849d0d00fb34e4
training,1fbm,4e1800967f2fb1e15fc50d60d2bedbab
